interval_ppif	RU000A1079J5	IPIF Astra Hedge Fund D1	ХеджФондД1	ИПИФ Астра Хедж-фонд Д1	2024-02-07		
public_ppif	RU000A0JR2A5	Balanced Fund	ПИФСбалан	ПИФ Сбалансир Инв УК ВИМИнвест	2010-12-01		
exchange_ppif	AMNR	AMNR ETF Cumulative in rubles	AMNR ETF	АТОН – Накопительный в рублях	2024-01-16		
private_ppif	RU000A104YX8	ZPIF Commercial Real Estate	ЗПИФКомНед	ЗПИФ СФН Совр Ком недвиж	2022-08-29		
exchange_ppif	SCLI	SCLI ETF Liquid	SCLI ETF	БПИФ Ликвидный	2024-07-22		
exchange_ppif	SBMX	SBMX ETF Top Russia equities	SBMX ETF	БПИФ Первая Топ Рос. акций	2018-09-17		
private_ppif	RU000A0JNUM1	UKNavigator Kapital. vlozh.	ЗПИФ КапВл	ПИФ Капитал.влож УК Навигатор	2006-12-15		
exchange_ppif	INFL	INFL ETF Ingosstrakh Inflation	INFL ETF	БПИФ Ингосстрах Инфляционный	2021-12-20		
exchange_ppif	CNYM	CNYM ETF Liquidity. CNY	CNYM ETF	Ликвидность. Юань	2023-12-27		
interval_ppif	RU000A0JNK00	Pervyi IPIF UK Kapit	ПервыйИПИФ	Первый ИПИФ УК КапиталЪ	2010-05-27		
exchange_ppif	TUSD	TCAPITAL ETF ALL-WEATHER D	TUSD ETF	БПИФ ТКАПИТАЛ ВЕЧНЫЙ ПОРТФ Д	2019-12-09		
private_ppif	RU000A0ZZX84	ZPIF Solid Rental - 2	СолидРент2	ЗПИФ Солид Рентный - 2	2021-08-23		
private_ppif	RU000A101NK4	ZPIF Primary placement fund	ЗПИФ ФПР	ЗПИФ Фонд первичных размещений	2020-07-23		
private_ppif	RU000A102PN1	PIF Alfa-Capital FastFood	ПИФАльфаФФ	ЗПИФ Альфа-К ФастФуд	2021-09-02		
private_ppif	RU000A105328	ZPIF PARUS-LOGISTICS	ПАРУС-ЛОГ	ЗПИФ ПАРУС-ЛОГИСТИКА	2023-03-29		
exchange_ppif	PSMM	PSMM ETF MFI PSB-Money Market	PSMM ETF	БПИФ РФИ ПСБ–Денежный рынок	2024-05-27		
private_ppif	RU000A107RE5	PIF Alfa Skladskaya kollekciya	ПИФ СкладК	ЗПИФ Альфа Складская коллекция	2024-09-26		
private_ppif	RU000A0ZZ422	Torgovye ryady ZPIF	ТРЗПИФ	ЗПИФ Торговые ряды	2018-09-10		
private_ppif	RU000A0JWAW3	SFNArendBiznes	СФНАрБизн	ПИФ СФН - Арендный бизнес	2016-06-29		
private_ppif	RU000A1092L4	ZPIF AKTIVO 20	ПИФАКТИВ20	ЗПИФ АКТИВО ДВАДЦАТЬ	2024-09-26		
public_ppif	RU000A0JP799	PIF BKS RossObl	БКС РосОбл	ОПИФ БКС Российские облигации	2021-08-30		
public_ppif	RU000A0JT4S1	OPIF Cumulative reserve	НакопРез	ОПИФ Накопительный резерв	2022-08-19		
interval_ppif	RU000A0ZZCD8	IPIF Mirovye invest MC Aton	ИПИФМирИнв	ИПИФ Мировые инвестиции УКАтон	2018-10-16		
interval_ppif	RU000A106MG3	IPIF Astra Hedge Fund D5	ХеджФондД5	ИПИФ Астра Хедж-фонд Д5	2024-02-07		
private_ppif	RU000A1022Z1	ZPIF PARUS-OZN	ПАРУС-ОЗН	ЗПИФ ПАРУС-ОЗН	2021-04-30		
private_ppif	RU000A0JVGP6	ZPIF Prom.In PI UK	ЗПИФПромИн	ЗПИФ Пром.Ин УК ПИ	2015-07-03		
exchange_ppif	SBCB	SBCB ETF USD Corporate Bonds	SBCB ETF	БПИФ Первая Фонд валютн. облиг	2019-02-08		
exchange_ppif	SBPS	SBPS ETF Progressive smart	SBPS ETF	БПИФ Первая Прогрессив смарт	2021-06-09		
interval_ppif	RU000A0JNK34	Universalnyi IPIF UK Kapital	УниверИПИФ	Универсальный ИПИФ УК КапиталЪ	2010-05-27		
public_ppif	RU000A0HGNG6	OPIF Arsaguera - Stock Fund	АрсагераФА	ОПИФ Арсагера - фонд акций	2022-02-09		
exchange_ppif	RSHU	RSHU ETF smart beta bonds	RSHU ETF	БПИФ РСХБ Корп обл смарт бета	2019-12-12		
exchange_ppif	SBCN	SBCN ETF First Savings in cny	SBCN ETF	БПИФ Первая Сберегат. в юанях	2023-01-16		
exchange_ppif	INGO	INGO ETF Ingosstrakh Corpbonds	INGO ETF	БПИФ Ингосстрах Корп облигации	2021-07-28		
