parents	labels	shortname	shortname_rus	name_rus	history_from	history_till	trace_color	wiki_page
exchange_bond	RU000A100AD8	Rosseti Moscow Region BO1P01	РСетиМР1P1	ПАО Россети Моск.рег. БО1Р01	2019-04-23			
exchange_bond	RU000A100AE6	Bank VTB B-1-28	ВТБ Б-1-28	Банк ВТБ (ПАО) Б-1-28	2019-04-23			
exchange_bond	RU000A100AF3	Gazprombank BO 001P-09P	ГПБ001P09P	ГПБ (АО) БО 001Р-09Р	2019-04-23			
exchange_bond	RU000A100AK3	Sberbank IOS 001P-81R	СберИОС81	Сбербанк ПАО ИОС 001P-81R	2019-04-25			
exchange_bond	RU000A100AM9	Lombard Master BO-P05	ЛомМасБОП5	Ломбард Мастер БО-П05	2019-04-25			
exchange_bond	RU000A100AN7	MIPC JSC BO 001P-02	МОЭК БО1P2	МОЭК ПАО БО 001Р-02	2019-04-24			
exchange_bond	RU000A100AP2	HC Finance LLC BO 001P-03	ХКФинБ1P3	ХК Финанс ООО БО 001Р-03	2019-04-25			
exchange_bond	RU000A100AZ1	TransKomplektHolding BO-P03	ТКХ БО-П03	ТрансКомплектХолдинг ООО БО-П3	2019-04-26			
exchange_bond	RU000A100B16	Rosbank BO-002P-05	Росбанк2P5	РОСБАНК БО-002P-05	2019-04-26			
exchange_bond	RU000A100B40	Russian Highways BO-002P-03	Автодор2Р3	Автодор ГК БО-002Р-03	2019-04-26			
exchange_bond	RU000A100B57	Sberbank IOS 001P-83R	СберИОС83	Сбербанк ПАО ИОС 001P-83R	2019-04-29			
exchange_bond	RU000A100B73	METALLOINVEST BO-09	МЕТАЛИНБ09	МЕТАЛЛОИНВЕСТ БО-09	2019-04-29			
exchange_bond	RU000A100BB0	RUSAL Bratsk BO-001P-01	РУСАБрБ1P1	РУСАЛ Братск БО-001P-01	2019-04-29			
exchange_bond	RU000A100BM7	VEB.RF PBO-001P-16	ВЭБ 1P-16	ВЭБ.РФ ПБО-001Р-16	2019-04-30			
exchange_bond	RU000A100BP0	Sberbank IOS 001P-86R	СберИОС86	Сбербанк ПАО ИОС 001P-86R	2019-04-30			
exchange_bond	RU000A100BR6	Sberbank IOS 001P-79R	СберИОС79	Сбербанк ПАО ИОС 001P-79R	2019-05-07			
exchange_bond	RU000A100CD4	Sberbank IOS 001P-84R	СберИОС84	Сбербанк ПАО ИОС 001P-84R	2019-05-15			
exchange_bond	RU000A100CG7	ObjedinenieAgroElita BO-P03	ОАЭ  БО-П3	ОбъединениеАгроЭлита  БО-П03	2019-05-20			
exchange_bond	RU000A100CS2	Bank VTB B-1-29	ВТБ Б-1-29	Банк ВТБ (ПАО) Б-1-29	2019-05-22			
exchange_bond	RU000A100CT0	Online Microfinance BO-01	АйДиЭфБ01	Онлайн Микрофинанс БО-01	2019-05-23			
exchange_bond	RU000A100DA8	SberIOS 001P-88R USDRUB RA 5.5	СберИОС88	СберИОС 001Р-88R USDRUB RA 5.5	2019-05-24			
exchange_bond	RU000A100DC4	MSB-Leasing 002P-02	МСБЛиз2Р02	МСБ-Лизинг 002Р-02	2019-05-27			
exchange_bond	RU000A100DF7	PROFNASTIL BO-P01	ЧЗПСНП БП1	ЧЗПСН-Профнастил ПАО БО-П01	2019-05-27			
exchange_bond	RU000A100DG5	Europlan BO-06	ЕвропланБ6	ПАО ЛК Европлан БО-06	2019-05-28			
exchange_bond	RU000A100DH3	SberIOS 001P-92R KR <=7.85	СберБ Б92R	СберИОС 001Р-92R KR <=7.85	2019-05-27			
exchange_bond	RU000A100DL5	SberIOS 001P-89R 3.5Y PP 105%	СберИОС89	СберИОС 001Р-89R 3.5Y PP 105%	2019-05-28			
exchange_bond	RU000A100DM3	TECHNO Leasing 001P-01	ТЕХЛиз 1P1	ТЕХНО Лизинг 001P-01	2019-05-28			
exchange_bond	RU000A100DS0	SberIOS 001P-91R BSK 8%	СберИОС91	СберИОС 001Р-91R BSK 8%	2019-05-28			
exchange_bond	RU000A100DX0	Gazprombank BO 001P-10P	ГПБ001P10P	ГПБ (АО) БО 001Р-10Р	2019-05-29			
exchange_bond	RU000A100DZ5	Sovkombank B0-P01	СовкомБОП1	ИКБ Совкомбанк ПАО обл. БО-П01	2019-05-30			
exchange_bond	RU000A100E39	Transneft BO-001P-11	ТрнфБО1P11	Транснефть ПАО БО-001P-11	2019-05-31			
exchange_bond	RU000A100E70	Taxovichkof BO-P01	ТаксФ БП1	ТаксовичкоФ БО-П01	2019-06-03			
exchange_bond	RU000A100E88	FPC 1P-06	ФПК 1P-06	Федерал пассажир комп 001Р-06	2019-06-03			
exchange_bond	RU000A100EB4	SberIOS 001P-93R IMOEX_asn 110	СберИОС93	СберИОС 001Р-93R IMOEX_asn 110	2019-06-03			
exchange_bond	RU000A100EC2	SberIOS 001P-95R 5Y BANKS 10%	СберИОС95	СберИОС 001Р-95R 5Y BANKS 10%	2019-06-03			
exchange_bond	RU000A100ED0	SberIOS 001P-96R 31D USDRUB RA	СберБ Б96R	СберИОС 001Р-96R 31D USDRUB RA	2019-06-04			
exchange_bond	RU000A100EJ7	Bank VTB B-1-18	ВТБ Б-1-18	Банк ВТБ (ПАО) Б-1-18	2019-06-04			
exchange_bond	RU000A100EN9	Bank VTB B-1-30	ВТБ Б-1-30	Банк ВТБ (ПАО) Б-1-30	2019-06-06			
exchange_bond	RU000A100ER0	RUSNANO BO-002P-01	РОСНАНО2P1	РОСНАНО АО БО-002P-01	2019-06-05			
exchange_bond	RU000A100ET6	DOM.RF 001P-06R	ДОМ 1P-6R	ДОМ.РФ АО 001Р-06R	2019-06-06			
exchange_bond	RU000A100EV2	UOMP PO BO-P01	iУОМЗ Б-П1	УОМЗ ПО АО БО-П01	2019-06-06			
