exchange_bond,RU000A109UD7,Atomenergoprom 001P-03,Атомэнпр03,Атомэнергопром АО 001Р-03,2024-10-23,,
exchange_bond,RU000A109JH1,X5 FINANSE 003P-01,ИКС5Фин3P1,ИКС 5 ФИНАНС 003P-01,2024-11-20,,
exchange_ppif,PSRB,PSRB ETF Ruble bonds,PSRB ETF,ПСБ  Рублевые облигации,2024-11-20,,
corporate_bond,RU000A0NR9V0,Sber CIB-CO-618,СберСIB618,Сбер CIB-СО-618,2024-11-21,,
exchange_ppif,AKAI,AKAI ETF Anti-inflationary,AKAI ETF,БПИФ Антиинфляционный,2024-10-16,,
exchange_bond,RU000A109QS3,SberIOS 001P-651R LKOH CS,СберИОС651,СберИОС 001Р-651R ЛУКОЙЛ КС,2024-10-28,,
exchange_bond,RU000A109478,VEB.RF PBO-002P-K545,ВЭБ2P-К545,ВЭБ.РФ ПБО-002Р-К545,2024-10-23,,
exchange_bond,RU000A10A1U9,SibAvtoTrans 001P-04,СИБАВТО1Р4,СибАвтоТранс 001Р-04,2024-11-13,,
exchange_bond,RU000A109TJ6,Promsvyazbank 003P-09,ПСБ 3P-09,Промсвязьбанк 003P-09,2024-10-18,,
exchange_bond,RU000A10A1N4,Alfa-Leasing BO-02,АльфаЛБ02,Альфа-Лизинг БО-02,2024-11-12,,
exchange_bond,RU000A10A505,Villina 001P-01,Виллин1P1,Виллина 001P-01,2024-11-25,,
exchange_bond,RU000A10A166,Gazprom capital BO-003P-05,ГазпКап3P5,Газпром капитал БО-003Р-05,2024-11-11,,
Others,T,IPJSC TCS Holding,ТКСХолд ао,ТКС Холдинг МКПАО ао,2019-10-28,,
corporate_bond,RU000A0P1MY4,Sber CIB-CO-711,СберСIB711,Сбер CIB-СО-711,2024-10-11,,
corporate_bond,RU000A108QF2,SFO BCS Structured Notes 34,СФО БКС 34,СФО БКС Структурные Ноты 34,2024-11-19,,
exchange_bond,RU000A109XY7,VEB.RF PBO-002P-K556,ВЭБ2P-К556,ВЭБ.РФ ПБО-002Р-К556,2024-11-22,,
private_ppif,RU000A1099U0,ZPIF Sovremenniy 9,ЗПИФСовр 9,ЗПИФ Современный 9,2024-11-14,,
corporate_bond,RU000A109GW6,Sber CIB-CO-EQ-001S-03,СберКИБ1Р3,Сбер CIB-CO-EQ-001S-03,2024-10-15,,
Others,DRI-RM,DARDEN RESTAURANTS INCO ORDSHS,DardenRest,DARDEN RESTAURANTS INCO ORDSHS,2021-11-01,,
exchange_bond,RU000A109U06,DeltaLeasing 001P-01,ДелЛиз1Р1,ДельтаЛизинг 001Р-01,2024-10-22,,
exchange_bond,RU000A109494,VEB.RF PBO-002P-K547,ВЭБ2P-К547,ВЭБ.РФ ПБО-002Р-К547,2024-10-30,,
corporate_bond,RU000A109EX9,SFO BCS Structured Notes 43,СФО БКС 43,СФО БКС Структурные Ноты 43,2024-10-31,,
exchange_bond,RU000A10A3Q3,ANTERRA-03,АНТЕРРА-03,АНТЕРРА-03,2024-11-19,,
corporate_bond,RU000A109H03,Sber CIB-CO-EQ-001S-07,СберКИБ1P7,Сбер CIB-CO-EQ-001S-07,2024-10-24,,
public_ppif,RU000A109QR5,AAA PIF Gold Fund,ААА Золото,ААА ПИФ Фонд Золота,2024-11-11,,
corporate_bond,RU000A109QT1,Investment bonds 11,ИнвОбл11,Инвестиционные облигации 11,2024-11-02,,
corporate_bond,RU000A1080A2,Sber CIB-CO-799,СберСIB799,Сбер CIB-СО-799,2024-10-30,,
exchange_bond,RU000A109S91,Rosseti Moscow Region BO1P07,РСетиМР1P7,ПАО Россети Моск.рег. БО1Р07,2024-10-11,,
exchange_bond,RU000A10A422,Sovkombank BO-I03,СовкомБИ03,Совкомбанк БО-И03,2024-11-21,,
exchange_bond,RU000A109RW3,ALFA-BANK 001P-15,АЛЬФАБ1Р15,АЛЬФА-БАНК Б1Р15,2024-10-18,,
exchange_ppif,BCSR,BCSR ETF MX,BCSR ETF,БПИФ БКС Индекс Росс рынка,2024-11-15,,
corporate_bond,RU000A108HR6,Sber CIB-CO-836,СберСIB836,Сбер CIB-СО-836,2024-11-21,,
exchange_bond,RU000A109YH0,SberIOS 001P-659R 3Y1M RMFS,СберИОС659,СберИОС 001Р-659R 3Y1M ОФЗ,2024-11-15,,
corporate_bond,RU000A108QE5,SFO BCS Structured Notes 33,СФО БКС 33,СФО БКС Структурные Ноты 33,2024-10-22,,
exchange_bond,RU000A109SX9,DDC Sadko 001P-01,Садко 1P1,ЦРС Садко 001P-01,2024-10-16,,
corporate_bond,RU000A109EW1,SFO BCS Structured Notes 42,СФО БКС 42,СФО БКС Структурные Ноты 42,2024-10-17,,
exchange_bond,RU000A109EG4,Gazprombank BO 004P-12,ГПБ004Р12,ГПБ (АО) БО 004Р-12,2024-10-31,,
exchange_bond,RU000A10A5H7,GTLK BO 002P-06,ГТЛК 2P-06,ГТЛК БО 002P-06,2024-11-27,,
exchange_bond,RU000A109SM2,BuySell 001P-02,Байсэл 1Р2,Байсэл 001P-02,2024-10-15,,
exchange_bond,RU000A109VM6,KAMAZ PTC BO-P13,КАМАЗ БП13,КАМАЗ ПАО БО-П13,2024-10-25,,
subfederal_bond,RU000A109RR3,Ulyanovskaya oblast 34009,Ульоб34009,Минфин Ульяновской обл. 34009,2024-10-10,,
exchange_bond,RU000A109ZK1,Bank VTB B-1-364,ВТБ Б1-364,Банк ВТБ (ПАО) Б-1-364,2024-11-01,,
corporate_bond,RU000A109T25,SFO BCS Structured Notes 47,СФО БКС 47,СФО БКС Структурные Ноты 47,2024-11-19,,
exchange_bond,RU000A109S83,MONOPOLY 001P-01,МОНОП 1P01,МОНОПОЛИЯ 001P-01,2024-10-11,,
exchange_bond,RU000A10A349,RusHydro BO-002P-01,РусГид2Р01,РусГидро БО-002Р-01,2024-11-14,,
exchange_bond,RU000A10A133,EvroTrans BO-001P-04,ЕвроТранс4,ЕвроТранс БО-001Р-04,2024-11-11,,
exchange_bond,RU000A109X45,VTB Leasing 001P-MB-02,ВТБЛИЗ 1Р2,ВТБ Лизинг 001Р-МБ-02,2024-10-28,,
exchange_bond,RU000A109411,VEB.RF PBO-002P-K539,ВЭБ2P-К539,ВЭБ.РФ ПБО-002Р-К539,2024-10-25,,
corporate_bond,RU000A109GY2,Sber CIB-CO-EQ-001S-05,СберКИБ1P5,Сбер CIB-CO-EQ-001S-05,2024-10-25,,
corporate_bond,RU000A109GV8,Sber CIB-CO-BQ-001S-02,СберКИБ1P2,Сбер СIB-CO-EQ-001S-02,2024-10-15,,
exchange_bond,RU000A109LL9,SberIOS 001P-649R 5Y AC LKOH,СберИОС649,СберИОС 001Р-649R 5Г AC LKOH,2024-10-16,,
corporate_bond,RU000A109UE5,RAF 001-01,РАТ 001-01,Автоассистанс 001-01,2024-10-23,,
