parents	labels	shortname	shortname_rus	name_rus	history_from	history_till
Electric Utilities	UPRO	Unipro PAO ao	Юнипро ао	Юнипро ПАО ао	2016-07-01	
Electric Utilities	VDSB	VladimirEnergoSbyt	ВЭК 01 ао	Владимирэнергосбыт ПАО	2014-06-09	2020-03-18
Electric Utilities	VGSB	Volgograd Energo Sbyt	ВолгЭнСб	Волгоград.энергосбыткомп ПАО ао	2014-06-09	
Electric Utilities	VGSBP	Volgograd Energo Sbyt (pref)	ВолгЭнСб-п	Волгоград.энергосбыткомп ПАО ап	2014-06-09	
Electric Utilities	VTGK	T Plus	ТПлюс ао	Т Плюс ПАО ао.	2014-06-09	2016-12-16
Electric Utilities	VRAO	RAO ES Vostoka	ВостРАО ао	РАО ЭС Востока ПАО ао	2014-06-09	2017-10-04
Electric Utilities	VRAOP	RAO ES Vostoka pref	ВостРАО ап	РАО ЭС Востока ПАО ап	2014-06-09	2017-10-04
Electric Utilities	VRSB	TNS energo Voroneg ao	ТНСэнВорон	ТНС энерго Воронеж ПАО ао	2014-06-09	
Electric Utilities	VRSBP	TNS energo Voroneg ap	ТНСэнВор-п	ТНС энерго Воронеж ПАО ап	2014-06-09	
Electric Utilities	YKEN	YakutskEnergo	Якутскэнрг	АК Якутскэнерго (ПАО) ао	2014-06-09	
Electric Utilities	YKENP	YakutskEnergo ap	Якутскэн-п	АК Якутскэнерго (ПАО) ап	2014-06-09	
Electric Utilities	YRSB	TNS energo Yaroslavl' ao	ТНСэнЯр	ТНС энерго Ярославль ПАО ао	2014-06-09	
Electric Utilities	YRSBP	TNS energo Yaroslavl' (pref)	ТНСэнЯр-п	ТНС энерго Ярославль ПАО ап	2014-06-09	
Energy (Oil, Gas, Coal)	BANE	Bashneft ANK ao	Башнефт ао	Башнефть АНК ао	2014-06-09	
Energy (Oil, Gas, Coal)	BANEP	Bashneft ANK ap	Башнефт ап	Башнефть АНК ап	2014-06-09	
Energy (Oil, Gas, Coal)	BLNG	Belon ao	Белон ао	Белон ОАО ао	2014-06-09	
Energy (Oil, Gas, Coal)	CHGZ	RN-Western Siberia ao	РН-ЗапСиб	РН-Западная Сибирь ПАО ао	2014-06-09	
Energy (Oil, Gas, Coal)	GAZP	Gazprom	ГАЗПРОМ ао	Газпром (ПАО) ао	2014-06-09	
Energy (Oil, Gas, Coal)	GAZS	Gaz-servis ao	ГАЗ-сервис	ГАЗ-сервис (ПАО) ао	2014-06-09	
Energy (Oil, Gas, Coal)	JNOS	Slavneft-JANOS	Славн-ЯНОС	Славнефть-ЯНОС (ПАО) ао	2014-06-09	
Energy (Oil, Gas, Coal)	JNOSP	Slavneft-JANOS (pref)	Слав-ЯНОСп	Славнефть-ЯНОС (ПАО) ап	2014-06-09	
Energy (Oil, Gas, Coal)	KBTK	PJSC KTC	ПАО КТК	ПАО КТК	2014-06-09	2021-06-21
Energy (Oil, Gas, Coal)	KRKN	Saratovskiy NPZ ao	СаратНПЗ	Саратовский НПЗ ПАО ао	2014-06-09	
Energy (Oil, Gas, Coal)	KRKNP	Saratovskiy NPZ ap	СаратНПЗ-п	Саратовский НПЗ ПАО ап	2014-06-09	
Energy (Oil, Gas, Coal)	LKOH	LUKOIL	ЛУКОЙЛ	НК ЛУКОЙЛ (ПАО) - ао	2013-03-25	
Energy (Oil, Gas, Coal)	MFGS	Megion	Мегион-ао	ао Славнефть-Мегионнефтегаз	2014-06-09	
Energy (Oil, Gas, Coal)	MFGSP	Megion (pref)	Мегион-ап	ап Славнефть-Мегионнефтегаз	2014-06-09	
Energy (Oil, Gas, Coal)	MNPZ	Gazpromneft-MNPZ	ГазпрМНПЗ	Газпромнефть-МНПЗ ОАО ао	2014-06-09	2014-11-14
Energy (Oil, Gas, Coal)	NVTK	NOVATEK	Новатэк ао	ПАО НОВАТЭК ао	2013-03-25	
Energy (Oil, Gas, Coal)	RNFT	RussNeft NK	РуссНфт ао	РуссНефть НК ПАО ао	2016-11-18	
Energy (Oil, Gas, Coal)	RNHS	RN Holding	РН Холд ао	РН Холдинг ОАО ао	2014-06-09	2014-08-15
Energy (Oil, Gas, Coal)	RNHSP	RN Holding pref	РН Холд ап	РН Холдинг ОАО ап	2014-06-09	2014-08-15
Energy (Oil, Gas, Coal)	ROSN	Rosneft	Роснефть	ПАО НК Роснефть	2014-06-09	
Energy (Oil, Gas, Coal)	RTGZ	Gazprom gazorasp. Rostov ao	ГазпРнД ао	Газпром газорасп Р-н-Д ПАО ао	2014-06-09	
Energy (Oil, Gas, Coal)	SIBN	Gazprom neft	Газпрнефть	Газпром нефть ПАО ао	2014-06-09	
Energy (Oil, Gas, Coal)	SNGS	Surgut	Сургнфгз	Сургутнефтегаз ПАО акции об.	2014-06-09	
Energy (Oil, Gas, Coal)	SNGSP	Surgut-pref	Сургнфгз-п	Сургутнефтегаз ПАО ап	2014-06-09	
Energy (Oil, Gas, Coal)	TATN	Tatneft-3	Татнфт 3ао	ПАО Татнефть ао	2013-07-08	
Energy (Oil, Gas, Coal)	TATNP	Tatneft (pref)	Татнфт 3ап	ПАО Татнефть ап 3 вып.	2013-07-08	
Energy (Oil, Gas, Coal)	TRNFP	Transneft (pref)	Транснф ап	Транснефть ПАО акц.пр.	2013-12-16	
Energy (Oil, Gas, Coal)	UKUZ	Uzhnyi Kuzbass	ЮжКузб. ао	Южный Кузбасс ПАО ао	2014-06-09	
Energy (Oil, Gas, Coal)	VJGZ	Var'eganneftegaz ao	Варьеган	ННК-Варьеганнефтегаз ПАО ао	2014-06-09	
Energy (Oil, Gas, Coal)	VJGZP	Var'eganneftegaz ap	Варьеган-п	ННК-Варьеганнефтегаз ПАО ап	2014-06-09	
Energy (Oil, Gas, Coal)	YAKG	YaTEK ao	ЯТЭК ао	Якутская топл.-энерг. комп. ао	2014-06-09	
Financials	ABBN	Astana Bank	БанкАстаны	АО Банк Астаны	2017-12-05	2018-09-27
Financials	ACKO	ASKO ao	АСКО ао	АСКО ПАО ао	2017-07-10	
Financials	ALBK	Best Efforts Bank	БестЭфБ ао	Бест Эффортс Банк ПАО ао	2014-06-09	2021-10-11
Financials	ARSA	UK Arsagera	Арсагера	УК Арсагера ПАО-ао	2014-06-09	
Financials	AVAN	AKB AVANGARD	Авангрд-ао	АКБ АВАНГАРД ПАО ао	2014-06-09	
Financials	BSPB	BSP	БСП ао	ПАО Банк Санкт-Петербург ао	2014-06-09	
Financials	BSPBP	BSP ap	БСП ап	Банк Санкт-Петербург ап	2021-01-26	
Financials	CARM	STG	СТГ	СТГ ао	2023-07-03	
Financials	CBOM	MKB ao	МКБ ао	МКБ ПАО ао	2015-06-22	
Financials	EPLN	Samfar	САФМАР ао	САФМАР Фин.Инвестиции ПАО ао	2015-12-04	2017-12-29
Financials	EPLN-002D	Europlan-002D	Европлан2D	Европлан ПАО ао 002D	2016-11-28	2017-03-27
Financials	DERZP	Derzhava Bank	Держава ап	Держава ап	2020-10-09	2022-12-13
Financials	FTRE	PJSC FG FUTURE	ФГ БУДУЩЕЕ	ПАО ФГ БУДУЩЕЕ	2016-10-20	2020-04-09
Financials	GAZC	Gazkon ao	ГАЗКОН-ао	ГАЗКОН (ПАО) ао	2014-06-09	
