parents	labels	shortname	shortname_rus	name_rus	history_from	history_till
Electric Utilities	TGKA	TGK-1	ТГК-1	ао ПАО ТГК-1	2013-09-02	
Electric Utilities	TGKB	TGK-2	ТГК-2	ао ПАО ТГК-2	2014-06-09	
Electric Utilities	TGKBP	TGK-2 pref	ТГК-2 ап	ап ПАО ТГК-2	2014-06-09	
Electric Utilities	TGKD	PJSC Quadra - Power Generation	Квадра ао	ПАО Квадра ао	2014-06-09	2023-01-24
Electric Utilities	TGKDP	PJSC Quadra - Power Generation pref	Квадра ап	ПАО Квадра ап	2014-06-09	2023-01-24
Electric Utilities	TGKN	TGK-14	ТГК-14	ао ПАО ТГК-14	2014-06-09	
Electric Utilities	TNSE	PAO GK TNS energo ao	ТНСэнрг ао	ПАО ГК ТНС энерго ао	2015-06-17	
Electric Utilities	TORS	Tomsk raspredelit. komp ao	ТРК ао	ао Томская распределит.комп.	2014-06-09	
Electric Utilities	TORSP	Tomsk raspredelit. komp ap	ТРК ап	ап Томская распределит.комп.	2014-06-09	
Electric Utilities	UPRO	Unipro PAO ao	Юнипро ао	Юнипро ПАО ао	2016-07-01	
Electric Utilities	VGSB	Volgograd Energo Sbyt	ВолгЭнСб	Волгоград.энергосбыткомп ПАО ао	2014-06-09	
Electric Utilities	VGSBP	Volgograd Energo Sbyt (pref)	ВолгЭнСб-п	Волгоград.энергосбыткомп ПАО ап	2014-06-09	
Electric Utilities	VRSB	TNS energo Voroneg ao	ТНСэнВорон	ТНС энерго Воронеж ПАО ао	2014-06-09	
Electric Utilities	VRSBP	TNS energo Voroneg ap	ТНСэнВор-п	ТНС энерго Воронеж ПАО ап	2014-06-09	
Electric Utilities	YKEN	YakutskEnergo	Якутскэнрг	АК Якутскэнерго (ПАО) ао	2014-06-09	
Electric Utilities	YKENP	YakutskEnergo ap	Якутскэн-п	АК Якутскэнерго (ПАО) ап	2014-06-09	
Electric Utilities	YRSB	TNS energo Yaroslavl' ao	ТНСэнЯр	ТНС энерго Ярославль ПАО ао	2014-06-09	
Electric Utilities	YRSBP	TNS energo Yaroslavl' (pref)	ТНСэнЯр-п	ТНС энерго Ярославль ПАО ап	2014-06-09	
Energy (Oil, Gas, Coal)	BANE	Bashneft ANK ao	Башнефт ао	Башнефть АНК ао	2014-06-09	
Energy (Oil, Gas, Coal)	BANEP	Bashneft ANK ap	Башнефт ап	Башнефть АНК ап	2014-06-09	
Energy (Oil, Gas, Coal)	BLNG	Belon ao	Белон ао	Белон ОАО ао	2014-06-09	
Energy (Oil, Gas, Coal)	CHGZ	RN-Western Siberia ao	РН-ЗапСиб	РН-Западная Сибирь ПАО ао	2014-06-09	
Energy (Oil, Gas, Coal)	GAZP	Gazprom	ГАЗПРОМ ао	Газпром (ПАО) ао	2014-06-09	
Energy (Oil, Gas, Coal)	GAZS	Gaz-servis ao	ГАЗ-сервис	ГАЗ-сервис (ПАО) ао	2014-06-09	
Energy (Oil, Gas, Coal)	JNOS	Slavneft-JANOS	Славн-ЯНОС	Славнефть-ЯНОС (ПАО) ао	2014-06-09	
Energy (Oil, Gas, Coal)	JNOSP	Slavneft-JANOS (pref)	Слав-ЯНОСп	Славнефть-ЯНОС (ПАО) ап	2014-06-09	
Energy (Oil, Gas, Coal)	KBTK	PJSC KTC	ПАО КТК	ПАО КТК	2014-06-09	2021-06-21
